NameUA;NameEN;DesUA;DesEN;Mass;Type;PP;P Lives;P Attack;P Def;P Can Care;P Max Lives;EXP;LM
Палиця;Stick;Найпримітніша річ в лабіринті, яку ви можете побачити. Є легенда про особливу палицю, яка приведе в кращий світ, але... це не вона;Widespread item in Maze, so there're even a legend about special powerful stick, but… it isn't that;1;Зброя;5;0;20;0;0;0;0;1,1
Відвар;Strong broth;Від цієї погані навіть мертвий стане на ноги (краще не перевіряти, бо ж ми не хочемо зомбі апокаліпсису);Even dead get up with it (you should trust me, because we don't need walking dead);1;Інше;30;-10;30;0;0;0;0;1,1
Крекери;Krackers;Гарно йдуть під відвар;Taste nice with strong broth;1;Інше;35;40;0;0;0;0;0;1,1
Торбина;Bag;Зберігає в собі багато таємниць;Saving a lot of secrets;5;Склад;100;0;0;0;30;0;0;1,1
Мішок;Old bag;Остання одежина якогось волоцюги чудово підійде для зберігання речей;The last clothes of some tramp are perfect for storing things;5;Склад;70;0;0;0;20;0;0;1
Ліки;Drugs;Пам'ятайте - самолікування може бути шкідливим для вашого здоров'я!;Remember: self-medicating may be harmful for you!;1;Інше;40;50;-5;0;0;0;0;1,1
Шкіряна куртка;Leather shirt;Прямо із з 70-х;Straight from the 70's;10;Тіло;150;0;0;20;0;0;0;1,1
Шкіряні буци;Leather shoes;Тяжкі і міцні;Heavy and strong;5;Стопи;100;0;0;5;0;0;0;1,1
Шкіряні штани;Leather trousers;Тіснувато, зате тепло;Tight but warm;10;Ноги;130;0;0;15;0;0;0;1,1
Маска;Mask;Вбереже від напастей, але лише 2 години;Will save from misfortunes, but only to hours;5;Голова;110;0;0;10;0;0;0;1,1
Бандана;Rag bandage;Якщо придивитися, можна побачити, що вона червона...;If you look closely, you can see that it is red…;2;Голова;60;0;0;3;0;0;0;1
Латана сорочка;Rag shirt;Монстр Франкенштейна у світі сорочок;Frankenstein's monster in the world of shirts;5;Тіло;80;0;0;10;0;0;0;1
Старі буци;Rag shoes;Більше схоже на ганчір'я обмотане навколо ніг;More like a rag wrapped around your legs;2;Стопи;50;0;0;1;0;0;0;1
Латані штани;Rag trousers;Просвічуються під світлом… мубуть мереживо;Translucent with light, apparently lace;5;Ноги;70;0;0;10;0;0;0;1
Виживання для чайників;Survival for noobs;"Короткий збірник з порадами типу ""як не вмерти""";"A short collection of tips like ""how not to die""";1;Інше;60;10;10;10;10;10;10;1,1
